Row Labels,count of jobs,,,
Amazon.com,358,,Row Labels,count of jobs
Ball Aerospace,187,,Amazon.com,358
Microsoft,137,,Ball Aerospace,187
Google,134,,Microsoft,137
NYU Langone Health,77,,Google,134
Fred Hutchinson Cancer Research Center,70,,NYU Langone Health,77
KPMG,66,,,
Lab126,50,,,
Facebook,49,,,
Broad Institute,49,,,
Walmart eCommerce,45,,,
McKinsey & Company,41,,,
Takeda Pharmaceutical,39,,,
University of Washington,39,,,
Harnham,39,,,
Oath Inc,34,,,
"Pharmacyclics, an Abbvie Company",34,,,
Celgene Corporation,34,,,
Cymer,32,,,
Brigham & Women's Hospital(BWH),31,,,
Biogen,30,,,
Sanofi,28,,,
Amgen,28,,,
Illumina,27,,,
Jacobs,27,,,
JP Morgan Chase,27,,,
Zillow Group,26,,,
JD.com,26,,,
JUUL Labs,26,,,
CDK Global,24,,,
Cedars-Sinai,24,,,
Uber,23,,,
The Climate Corporation,23,,,
University of Texas at Austin,23,,,
Vertex Pharmaceuticals,22,,,
Wayfair,22,,,
Tempus,22,,,
Massachusetts General Hospital(MGH),22,,,
NOKIA,22,,,
Genentech,22,,,
Burns & McDonnell,22,,,
Civis Analytics,22,,,
Accenture,22,,,
Vertex,21,,,
Harvard University,21,,,
Nielsen,20,,,
DEPT OF HEALTH/MENTAL HYGIENE,20,,,
ICF,20,,,
Autodesk,20,,,
Twitter,19,,,
Pfizer Inc.,19,,,
Quora,19,,,
Draper,19,,,
Jobspring Partners,19,,,
Alnylam,18,,,
Bristol-Myers Squibb,18,,,
Bank of America,18,,,
The Boston Consulting Group,17,,,
Workbridge Associates,17,,,
Novartis,17,,,
Apple,17,,,
23andMe,17,,,
The University of Chicago,16,,,
Thermo Fisher Scientific,16,,,
Leidos,16,,,
Natera,16,,,
Dana-Farber Cancer Institute,16,,,
DigitasLBi,16,,,
IBM,16,,,
Allstate,16,,,
Merck,15,,,
Georgia Tech Research Institute,15,,,
Emory University,15,,,
General Electric,15,,,
Columbia University,15,,,
Exponent,14,,,
BuzzFeed,14,,,
USC,13,,,
The Home Depot,13,,,
Samsung Research America,13,,,
Spotify,13,,,
University of California San Francisco,13,,,
AbbVie,13,,,
BioMarin,13,,,
University of Colorado,12,,,
Lawrence Berkeley National Laboratory,12,,,
Mathematica Policy Research,12,,,
Analytic Recruiting,12,,,
Boston University,12,,,
ASML,12,,,
Capital One,12,,,
bluebird bio,12,,,
UC San Diego,11,,,
"Pandora Media, Inc.",11,,,
R&D Partners,11,,,
"Kleinfelder, Inc.",11,,,
Gilead Sciences,11,,,
DataRobot,11,,,
Intuit,11,,,
Dremio,11,,,
BNY Mellon,11,,,
Commonwealth Sciences,11,,,
BOEING,11,,,
BlueLabs Analytics,11,,,
Zillow,10,,,
Weill Cornell Medicine,10,,,
ZestFinance,10,,,
Simons Foundation,10,,,
Shire Pharmaceuticals,10,,,
State Street,10,,,
"Moderna Therapeutics, Inc",10,,,
MIT,10,,,
QuantumBlack,10,,,
Northwestern University,10,,,
Payette Group,10,,,
DELL,10,,,
Goldman Sachs,10,,,
Capgemini,10,,,
TARGET,9,,,
Schireson,9,,,
Rubius Therapeutics,9,,,
Nektar,9,,,
LivePerson - Global Product & Technology,9,,,
Johnson & Johnson Family of Companies,9,,,
Juno Therapeutics,9,,,
Ipsos North America,9,,,
JLL,9,,,
Indigo,9,,,
"Foundation Medicine, Inc.",9,,,
Smith Hanley Associates,8,,,
UnitedHealth Group,8,,,
Wunderman,8,,,
University of California Berkeley,8,,,
Symantec,8,,,
"Two Sigma Investments, LLC.",8,,,
Rush University Medical Center,8,,,
The Coca-Cola Company,8,,,
